paper_id,paper_year,doi,domain,barrier,occlusion,vehicle_raw_string,ethanol_vv,PG_vv,water_vv,MO_vv,MG_vv,J_mean,J_sd,J_unit,replicates,kp_mean,kp_sd,kp_unit,include_in_main_task
Watkinson_2009_II,2009,10.1159/000231528,hydrophilic_cosolvent,silicone,,80:20,,80.0,20.0,,,245.28,,ug/cm2/h,,,,,False
Watkinson_2009_II,2009,10.1159/000231528,hydrophilic_cosolvent,silicone,,90:10,,90.0,10.0,,,219.68,,ug/cm2/h,,,,,False
Watkinson_2009_II,2009,10.1159/000231528,hydrophilic_cosolvent,silicone,,100:0,,100.0,0.0,,,297.18,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,0/100,,,,100.0,100.0,93.68,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,50/50,,,,50.0,50.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,10/90,,,,10.0,90.0,93.68,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,30/70,,,,30.0,70.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,20/80,,,,20.0,80.0,93.68,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,40/60,,,,40.0,60.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,70/30,,,,70.0,30.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,60/40,,,,60.0,40.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,80/20,,,,80.0,20.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,90/10,,,,90.0,10.0,64.58,,ug/cm2/h,,,,,False
Watkinson_2011_III,2011,10.1159/000315139,lipophilic_vehicle,human_epidermis,,100/0,,,,100.0,100.0,579.48,,ug/cm2/h,,,,,False
