record_id,doi,route,formulation_label,endpoint_value,endpoint_unit,endpoint_time_value,v1_status,v2_status,v1_failure_reasons,v2_failure_reasons,api_raw,api_unit,api_basis
record_10fe52f086bf,10.18433/j3160b,figure,NSV-IBU 1%,60.0,%,48.0,rejected,rejected,not_target_device|ambiguous_api_concentration|missing_area,not_target_device|ambiguous_api_concentration|missing_area,1%,% w/v,w/v
record_118ea051bde7,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,180.0,unresolved,unresolved,missing_endpoint|unit_normalization_failed|figure_digitization_failed,missing_endpoint|unit_normalization_failed|figure_digitization_failed,5 % w/w,% w/w,w/w
record_119589023f8d,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,48.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_1343b9043ea1,10.1016/j.jhazmat.2021.125554,text,text_1,1.2,mg/cm2/h,1.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,10 mg/L,,
record_135da29e8243,10.1371/journal.pone.0156931,mixed,F+K+A375SM+W+Fn+TNF-α+NaIbu 100μM Gel,0.2,invasion score,5.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,100μM,uM,molar
record_14c8ab5d4f06,10.1208/s12249-015-0474-y,mixed,text_5,224.48,μg/(cm2 h),8.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,Equimolar with ESP,,
record_154cc8ef2794,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,60.0,unresolved,unresolved,missing_endpoint|unit_normalization_failed|figure_digitization_failed,missing_endpoint|unit_normalization_failed|figure_digitization_failed,5 % w/w,% w/w,w/w
record_1660a8464700,10.1038/srep08114,table,Ibuprofen 10 mM,0.7,mM,24.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|missing_area,insufficient_evidence|ambiguous_api_concentration|missing_area,10 mM,mM,molar
record_1681c8b3af19,10.1038/srep08114,table,Phenybutazone 10 mM,4.0,mM,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,10 mM,mM,molar
record_1784f57ab86a,10.3390/pharmaceutics16111465,table,IBU1_POL_MAN2_LEU1_spd,3.88,µm,15.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,24.45 ± 0.31,g,-
record_1ab9e7f09fb2,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),5.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_1b040a45249d,10.1038/s41598-020-74885-1,table,12% PCLSW-1,4.0,mg,0.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration,insufficient_evidence|missing_api_concentration,,,
record_1b2441b1deb6,10.3762/bjoc.9.104,mixed,1f,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
record_1bf5e1e73737,10.1208/s12249-013-9995-4,table,F7,387.9,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_1ed46f3e00fd,10.3389/fphys.2016.00263,figure,Compound C (2 mg/kg),2.0,mg,15.0,rejected,rejected,not_target_api|insufficient_evidence|not_target_api_concentration|missing_area,not_target_api|insufficient_evidence|not_target_api_concentration|missing_area,2 mg/kg,mg/kg,dosing concentration
record_218d52394de5,10.3390/membranes12080762,figure,M1,,,2.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_endpoint,insufficient_evidence|missing_api_concentration|missing_endpoint,,,
record_230b92358d51,10.1042/bj2700039,table,Indomethacin (1 µM),2.0,cm H2O,40.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,50 µM,uM,molar
record_23728b9b7a89,10.1039/d0ra00100g,table,[ValOPr][IBU],382.35,mg IBU cm²,24.0,rejected,rejected,not_target_api|missing_api_concentration|missing_area,not_target_api|missing_api_concentration|missing_area,,,
record_23aa12ee43c3,10.1371/journal.pone.0156931,mixed,F+K+A375SM,1.21,invasion score,15.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|unit_normalization_failed,insufficient_evidence|missing_api_concentration|unit_normalization_failed,,,
record_28573be597bc,10.1042/bj2700039,table,BPB (20 µM),1.2,cm H2O,40.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,50 µM,uM,molar
record_29ca9bcdf8cb,10.1186/2050-6511-13-5,table,Control (untreated),1.03,μg/cm²/h,6.0,unresolved,unresolved,missing_api_concentration,missing_api_concentration,,,
record_2a151553842c,10.1186/s13065-022-00901-2,table,Z8 (R = 4-OH),3.08,µmol/ml,2.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,Z8,,
record_2a3f65cf4898,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,95.45,%,168.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_2c9fa747f279,10.1007/s11095-008-9785-y,mixed,text_1,0.21,h^-1,1.0,unresolved,unresolved,ambiguous_api_concentration|insufficient_evidence,ambiguous_api_concentration|insufficient_evidence,~10 mg/ml,mg/ml,w/v
record_2f0cb4c59c83,10.1208/s12249-019-1584-8,figure,Ibuprofen Hydrogel (Gel),100.0,µg/cm²,24.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,Ibuprofen 0.5% (w/w),% w/w,w/w
record_2f8f23acac85,10.1007/s11095-008-9785-y,mixed,Saturated solution in 75:25 propylene glycol/water,0.0,μg/cm²,3.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,saturated,mg/ml,w/v
record_317a07999fda,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,75.14,%,12.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_3241dc6b0b20,10.1186/2050-6511-13-5,table,Ibuprofen,2.99,μg/cm²/h,30.0,unresolved,unresolved,missing_api_concentration|insufficient_evidence,missing_api_concentration|insufficient_evidence,,,
record_33a608f5b97a,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,85.74,%,96.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_3573f91dc632,10.3389/fchem.2021.767923,figure,Chitosan-Ibuprofen Aerogel,51.0,ug,72.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,0.1 M Ibuprofen solution,,
record_3672e05a60e6,10.1208/s12249-013-9995-4,table,F2,580.2,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_3987ac98af89,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),3.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_3b4ea7b3d9d6,10.1039/d0ra00100g,table,[ValOHex][IBU],249.46,mg IBU cm²,24.0,rejected,rejected,not_target_api|missing_api_concentration|missing_area,not_target_api|missing_api_concentration|missing_area,,,
record_3b6f298fd6dc,10.1038/s41598-020-74885-1,table,10% PCLSW-2,4.0,mg,0.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration,insufficient_evidence|missing_api_concentration,,,
record_3d0adefd8d76,10.1248/cpb.c21-00033,figure,Preparation #8,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.8/0.2,,
record_3e6645a5ab77,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,5.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_3ec6644ba612,10.1208/s12249-013-9995-4,table,F1,1142.4,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_3f010c7e63c3,10.1248/cpb.c21-00033,figure,Preparation #4,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.6,mol/L,
record_3f6ffcf94e8b,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,89.95,%,144.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_41ba93838fed,10.1371/journal.pone.0156931,mixed,F+K+C8161+W+NaIbu 131μM hydrogel,3.0,invasion score,5.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,131μM,uM,molar
record_453da10d1ec5,10.1208/s12249-013-9995-4,table,F1,536.5,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_462adca3b353,10.1186/s10194-021-01374-9,figure,"NTG 10 mg/kg, 30 min",10.0,mg,30.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,10 mg/kg,mg/kg,"s.c., every 2 d for a total of 5 injections"
record_46eb58696d42,10.1248/cpb.c21-00033,figure,Preparation #0,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/1.0,,
record_4d624f430c6c,10.1021/acs.molpharmaceut.0c00720,figure,P+-Ibuprofen,72.0,hours,3.0,unresolved,unresolved,ambiguous_api_concentration|missing_area,ambiguous_api_concentration|missing_area,(P+-Ibuprofen),mM,molar
record_4edb5d71df86,10.1038/s41598-020-74885-1,table,12% PCL-IBU,4.0,mg,0.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration,insufficient_evidence|missing_api_concentration,,,
record_4f29e769aee7,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,120.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_501612f87cab,10.1039/d0ra00100g,table,[ValOEt][IBU],215.19,mg IBU cm²,24.0,rejected,rejected,not_target_api|missing_api_concentration|missing_area,not_target_api|missing_api_concentration|missing_area,,,
record_519f46b4cf79,10.1038/srep08114,table,Fenoprofen 10 mM,1.5,mM,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,10 mM,mM,molar
record_531e7a60248b,10.1038/srep08114,table,Indomethacin 10 mM,2.5,mM,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,10 mM,mM,molar
record_5458de86118d,10.3390/membranes12080762,figure,M4,,,2.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_endpoint,insufficient_evidence|missing_api_concentration|missing_endpoint,,,
record_5553e4d4bb3e,10.1186/2050-6511-13-5,table,Ibuprofen,2.36,μg/cm²/h,6.0,unresolved,unresolved,missing_api_concentration,missing_api_concentration,,,
record_55b3be42cfb6,10.1038/srep08114,table,Diclofenac 10 mM,3.0,mM,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,10 mM,mM,molar
record_55d92bffb012,10.1208/s12249-019-1584-8,figure,Microemulsion Gel (ME/Gel),400.0,µg/cm²,24.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,Ibuprofen 1% (w/w),% w/w,w/w
record_5729052ca0a4,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,30.0,unresolved,unresolved,missing_endpoint|unit_normalization_failed|figure_digitization_failed,missing_endpoint|unit_normalization_failed|figure_digitization_failed,5 % w/w,% w/w,w/w
record_5756669a98c6,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,120.0,unresolved,unresolved,missing_endpoint|unit_normalization_failed|figure_digitization_failed,missing_endpoint|unit_normalization_failed|figure_digitization_failed,5 % w/w,% w/w,w/w
record_581b6c117b07,10.1208/s12249-015-0474-y,mixed,text_3,45.61,μg/(cm2 h),8.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,Equimolar with ESP,,
record_58a9e5477d60,10.3390/bioengineering13010092,mixed,Ibuprofen-TiO2 (1%),200.0,µg/cm²,24.0,rejected,rejected,not_target_device|not_target_api_concentration,not_target_device|not_target_api_concentration,1%,% w/w,w/w
record_596369d34f61,10.1208/s12249-015-0474-y,mixed,ESP-IB,113.09,μg/(cm2 h),1.0,rejected,rejected,not_target_api|missing_api_concentration|insufficient_evidence,not_target_api|missing_api_concentration|insufficient_evidence,,,
record_59963ee27e78,10.1208/s12249-013-9995-4,table,F4,132.3,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_5a04c6887ad9,10.3389/fphys.2016.00263,figure,Capsaicin,1.0,ug,120.0,rejected,rejected,not_target_api|insufficient_evidence|not_target_api_concentration|missing_area,not_target_api|insufficient_evidence|not_target_api_concentration|missing_area,1 µg/kg,ug/kg,dosing concentration
record_5d8638739de7,10.1016/j.ejpb.2020.05.013,figure,5% w/w Ibuprofen Gel,,,3.0,unresolved,unresolved,missing_endpoint|figure_digitization_failed,missing_endpoint|figure_digitization_failed,5 % w/w,% w/w,w/w
record_5f7a6dc5d170,10.1248/cpb.c21-00033,figure,Preparation #3,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.7,mol/L,
record_5ff80e2cdc44,10.1371/journal.pone.0156931,mixed,F+K+HBL+W+NaIbu 100μM,0.75,invasion score,5.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,insufficient_evidence|ambiguous_api_concentration|unit_normalization_failed,100μM,uM,molar
record_602598d0556c,10.3389/fphys.2016.00263,figure,Vehicle 1 (15 mg/kg),15.0,mg,12.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration|missing_area,insufficient_evidence|not_target_api_concentration|missing_area,15 mg/kg,mg/kg,dosing concentration
record_62949d412ef7,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,65.95,%,4.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_6378b97946c2,10.1208/s12249-013-9995-4,table,F8,734.4,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_63cc9f1ddcc5,10.1042/bj2700039,table,Ibuprofen (50 µM),2.8,cm H2O,40.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,50 µM,uM,molar
record_66838eb0bee4,10.1007/s13346-022-01182-x,table,SNM-IBU2,0.0,,0.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,0.5,% w/v,w/v
record_66b02b4fbf70,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,47.021,%,1.5,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_66c595f609f5,10.1248/cpb.c21-00033,figure,Preparation #1,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0/0.9,mol/L,
record_671f2cae7a6e,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,57.42,%,2.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_67bd50b0e73c,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,68.25,%,5.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_684baca062b9,10.1371/journal.pone.0156931,mixed,F+K+A375SM+W+Fn,0.0,invasion score,15.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|unit_normalization_failed,insufficient_evidence|missing_api_concentration|unit_normalization_failed,,,
record_6985299e799c,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,3.24,%,0.083,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_6a484a2ea1ad,10.1208/s12249-013-9995-4,table,F8,464.8,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_6ad4079b03f5,10.1007/s13346-022-01182-x,table,SNM-IBU1,53.0,%,4.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|missing_area,insufficient_evidence|ambiguous_api_concentration|missing_area,0.5,% w/v,w/v
record_6b2c4fcc4bdf,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,90.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_6b2f23fde499,10.21203/rs.3.rs-3773667/v1,table,Sample C (PLA-PEG),97.0,µg,120.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm2,mg/g,w/w
record_6d996549165b,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,30.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_6ebafbda592f,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,14.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_6ef7cb7d4ade,10.1208/s12249-013-9995-4,table,F2,155.9,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_6f44a2dc785c,10.1038/s41598-020-74885-1,table,12% PCLSW-2,4.0,mg,0.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration,insufficient_evidence|missing_api_concentration,,,
record_70a0f7847e2e,10.1208/s12249-015-0474-y,mixed,text_4,35.11,μg/(cm2 h),8.0,unresolved,unresolved,insufficient_evidence,insufficient_evidence,Equimolar with ESP,,
record_719fc9a9d07a,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,75.38,%,3.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_7238f6f4edd9,10.1021/acs.molpharmaceut.0c00720,figure,N+-Ibuprofen,5.600649356842041,mg/mL,12.0,unresolved,unresolved,insufficient_evidence|missing_area,insufficient_evidence|missing_area,(N+-Ibuprofen),,
record_7246cc6624e5,10.3390/membranes12080762,figure,M3,,,2.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|missing_endpoint,insufficient_evidence|missing_api_concentration|missing_endpoint,,,
record_746b688c00cf,10.1208/s12249-019-1584-8,figure,Ibuprofen Hydrogel (Gel),100.0,µg/cm²,24.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,Ibuprofen 0.5% (w/w),% w/w,w/w
record_7643e65a780f,10.1007/s13346-022-01182-x,table,SNM-IBU1,0.0,,0.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration,insufficient_evidence|ambiguous_api_concentration,0.5,% w/v,w/v
record_764e4aa71249,10.1208/s12249-013-9995-4,table,F4,734.4,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_771853ae9097,10.1208/s12249-013-9995-4,table,F7,260.1,μg,48.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_78260fd2f235,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,34.21,%,1.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_797d3caa1991,10.1039/d0ra00100g,table,rac-IBU,302.84,mg IBU cm²,24.0,unresolved,unresolved,missing_api_concentration|missing_area,missing_api_concentration|missing_area,,,
record_7995347e18eb,10.3762/bjoc.9.104,mixed,3a,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
record_79fcd68c34b8,10.1021/acs.molpharmaceut.0c00720,figure,P+-Ibuprofen,5.600649356842041,mg/mL,72.0,unresolved,unresolved,insufficient_evidence|missing_area,insufficient_evidence|missing_area,(P+-Ibuprofen),,
record_7a488406a9ab,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,16.93,%,0.333,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_7c1435d1ce85,10.1007/s11095-008-9785-y,mixed,Saturated solution in 75:25 propylene glycol/water,0.0,μg/cm²,0.5,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,saturated,mg/ml,w/v
record_7c4ea82090e3,10.1042/bj2700039,table,Control,9.3,cm H2O,40.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration,not_target_api|insufficient_evidence|ambiguous_api_concentration,50 µM,uM,molar
record_7c70e6a53031,10.1371/journal.pone.0156931,mixed,F+K+C8161,2.67,invasion score,15.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|unit_normalization_failed,insufficient_evidence|missing_api_concentration|unit_normalization_failed,,,
record_7dc18248cda0,10.4103/jomfp.jomfp_253_19,mixed,Ibuprofen,70.94,%,6.0,unresolved,unresolved,insufficient_evidence|missing_api_concentration|percent_only,insufficient_evidence|missing_api_concentration|percent_only,,,
record_7e8ac003b9b2,10.1038/s41598-024-57883-5,mixed,A,1.0,mg/cm2,2.0,unresolved,unresolved,insufficient_evidence|not_target_api_concentration,insufficient_evidence|not_target_api_concentration,1 mg/cm²,mg/g,w/w
record_7f1a8e76ddde,10.1208/s12249-013-9995-4,table,F2,1178.9,μg,72.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_80dc0c1bef05,10.1248/cpb.c21-00033,figure,Preparation #10,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,1.0/0,,
record_8128e7a28455,10.1208/s12249-019-1584-8,figure,Microemulsion (ME),150.0,ug/cm2,24.0,unresolved,unresolved,not_target_api_concentration,not_target_api_concentration,Ibuprofen 1% (w/w),% w/w,w/w
record_819e9eea90c5,10.3762/bjoc.9.104,mixed,1b,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
record_81fa3c94d4c0,10.1208/s12249-015-0474-y,mixed,ESP-IB,995.13,μg/cm2,8.0,rejected,rejected,not_target_api|missing_api_concentration,not_target_api|missing_api_concentration,,,
record_8263508e53c5,10.1248/cpb.c21-00033,figure,Preparation #5,10.0,mg,32.0,unresolved,unresolved,ambiguous_api_concentration,ambiguous_api_concentration,0.5/0.5,,
record_83a3f9b0e06e,10.1208/s12249-013-9995-4,table,F5,312.3,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_8451385f5434,10.1208/s12249-013-9995-4,table,F7,123.9,μg,24.0,unresolved,verified,ambiguous_api_concentration,,5% (w/v),% w/v,w/v
record_8755ab5ac908,10.1007/s13346-022-01182-x,table,SNM-IBU2,74.0,%,24.0,unresolved,unresolved,insufficient_evidence|ambiguous_api_concentration|missing_area,insufficient_evidence|ambiguous_api_concentration|missing_area,0.5,% w/v,w/v
record_87a3646cd7a4,10.1523/jneurosci.5741-07.2008,table,Ibuprofen,40.0,mg,15.0,rejected,rejected,not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_area,40 mg/kg,mg/kg,intraperitoneal
record_8841812235af,10.1123/ijspp.2016-0382,table,IBU/APAP,0.3,°C,3.0,rejected,rejected,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_study_type|insufficient_evidence|ambiguous_api_concentration|missing_area,400 mg,mg,
record_890935acf4a4,10.1007/s13346-022-01182-x,table,SNM-MIC1,10.0,%,24.0,rejected,rejected,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,not_target_api|insufficient_evidence|ambiguous_api_concentration|missing_area,0.5,% w/v,w/v
record_894c74eec38c,10.3762/bjoc.9.104,mixed,1a,,,72.0,rejected,rejected,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,not_target_api|not_target_study_type|insufficient_evidence|not_target_api_concentration|missing_endpoint,0.8 wt %,% w/w,w/w
