doi,title,journal,year,miss_reason,phase0a_oa
10.1039/d3ra06857a,"Poly(3,4-ethylenedioxythiophene):polystyrene sulfonate (PEDOT:PSS) as an insulin carrier in silk fibroin hydrogels for transdermal delivery <i>via</i> iontophoresis.",RSC Advances,2024,wrong_api_keyword,True
10.1080/03639045.2018.1464021,"Development of hydrogels, oleogels, and bigels as local drug delivery systems for periodontitis.",Drug development and industrial pharmacy,2018,wrong_method_keyword,False
10.1080/10717544.2022.2089295,Transdermal delivery of inflammatory factors regulated drugs for rheumatoid arthritis.,Drug Delivery,2022,wrong_method_keyword,True
10.1080/10717544.2023.2300945,Advancing burn wound treatment: exploring hydrogel as a transdermal drug delivery system.,Drug Delivery,2024,wrong_api_keyword,True
10.1111/srt.13589,Evaluation of the in vitro human skin percutaneous absorption of ketoprofen in topical anhydrous and aqueous gels.,Skin Research and Technology,2024,wrong_api_keyword,True
10.1155/2017/7275985,Recent Advances in Hydrogel-Based Drug Delivery for Melanoma Cancer Therapy: A Mini Review.,Journal of Drug Delivery,2017,wrong_method_keyword,True
10.1166/jbn.2010.1153,Ibuprofen transdermal ethosomal gel: characterization and efficiency in animal models.,Journal of biomedical nanotechnology,2010,wrong_method_keyword,False
10.1186/1476-511x-8-6,"Lipid nanoparticles for transdermal delivery of flurbiprofen: formulation, in vitro, ex vivo and in vivo studies.",Lipids in Health and Disease,2009,wrong_api_keyword,True
10.1186/1477-3155-6-8,Skin permeation mechanism and bioavailability enhancement of celecoxib from transdermally applied nanoemulsion.,Journal of Nanobiotechnology,2008,wrong_api_keyword,True
10.1186/s12896-024-00856-3,"ECM-mimetic, NSAIDs loaded thermo-responsive, immunomodulatory hydrogel for rheumatoid arthritis treatment.",BMC Biotechnology,2024,wrong_api_keyword,True
10.1208/s12249-020-1627-1,"Transdermal Administration of Ibuprofen-Loaded Gel: Preparation, Pharmacokinetic Profile, and Tissue Distribution.",AAPS PharmSciTech,2020,wrong_method_keyword,False
10.21203/rs.3.rs-33973/v1,"Folic acid-containing nanofibers by simultaneous process for transdermal drug delivery: preparation, characterization, and in vitro biocompatibility",,2020,wrong_api_keyword,True
10.2147/dddt.s75702,Dendrimer-coupled sonophoresis-mediated transdermal drug-delivery system for diclofenac.,"Drug Design, Development and Therapy",2015,wrong_api_keyword,True
10.2147/ijn.s173216,Design of a transdermal formulation containing raloxifene nanoparticles for osteoporosis treatment.,International Journal of Nanomedicine,2018,wrong_api_keyword,True
10.2147/ijn.s180080,Nanohybrid hydrogels designed for transbuccal anesthesia.,International Journal of Nanomedicine,2018,wrong_api_keyword,True
10.2147/jpr.s461032,Tizanidine: Advances in Pharmacology &amp; Therapeutics and Drug Formulations,Journal of Pain Research,2024,wrong_method_keyword,True
10.3389/fchem.2024.1336717,Commercial hydrogel product for drug delivery based on route of administration.,Frontiers in Chemistry,2024,wrong_api_keyword,True
10.3390/biomedicines11082119,Advances and Prospects for Hydrogel-Forming Microneedles in Transdermal Drug Delivery.,Biomedicines,2023,wrong_api_keyword,True
10.3390/gels10060362,Nanocomposite Gels Loaded with Flurbiprofen: Characterization and Skin Permeability Assessment in Different Skin Species.,Gels,2024,wrong_api_keyword,True
10.3390/gels11030206,Multifunctional Hydrogel Microneedles (HMNs) in Drug Delivery and Diagnostics.,Gels,2025,wrong_api_keyword,True
10.3390/gels11070500,New Gel Approaches for the Transdermal Delivery of Meloxicam.,Gels,2025,wrong_method_keyword,True
10.3390/gels12010022,"Hydrogels and Organogels for Local Anesthetic Delivery: Advances, Challenges, and Translational Perspectives.",Gels,2025,wrong_api_keyword,True
10.3390/gels9100806,"Dissolving and Swelling Hydrogel-Based Microneedles: An Overview of Their Materials, Fabrication, Characterization Methods, and Challenges.",Gels,2023,wrong_method_keyword,True
10.3390/ijms20153644,Combination with l-Menthol Enhances Transdermal Penetration of Indomethacin Solid Nanoparticles.,International Journal of Molecular Sciences,2019,wrong_api_keyword,True
10.3390/mi17010102,"Microneedle Technologies for Drug Delivery: Innovations, Applications, and Commercial Challenges.",Micromachines,2026,wrong_api_keyword,True
10.3390/molecules24142547,Review of Stimuli-Responsive Polymers in Drug Delivery and Textile Application.,Molecules,2019,wrong_method_keyword,True
10.3390/molecules28062872,Essential Oils Distilled from Colombian Aromatic Plants and Their Constituents as Penetration Enhancers for Transdermal Drug Delivery.,Molecules,2023,wrong_api_keyword,True
10.3390/molecules30061354,Hydrogel Delivery Systems for Biological Active Substances: Properties and the Role of HPMC as a Carrier.,Molecules,2025,wrong_api_keyword,True
10.3390/mps8060134,Biodegradable Microneedle for Enhanced Transdermal Drug Delivery: Trends and Techniques.,Methods and Protocols,2025,wrong_api_keyword,True
10.3390/ph11040118,Lipid Nanoparticles and Their Hydrogel Composites for Drug Delivery: A Review.,Pharmaceuticals,2018,wrong_api_keyword,True
10.3390/ph15050602,Polysaccharide-Based Transdermal Drug Delivery.,Pharmaceuticals,2022,wrong_method_keyword,True
10.3390/ph18060810,Evaluation of the In Vitro Permeation Parameters of Topical Diclofenac Sodium from Transdermal Pentravan&lt;sup&gt;®&lt;/sup&gt; Products and Hydrogel Celugel Through Human Skin.,Pharmaceuticals,2025,wrong_api_keyword,True
10.3390/pharmaceutics10030148,Franz Diffusion Cell Approach for Pre-Formulation Characterisation of Ketoprofen Semi-Solid Dosage Forms.,Pharmaceutics,2018,wrong_api_keyword,True
10.3390/pharmaceutics11100548,"Preparation, Characterisation, and Topical Delivery of Terbinafine.",Pharmaceutics,2019,wrong_api_keyword,True
10.3390/pharmaceutics11120671,Poloxamer Hydrogels for Biomedical Applications.,Pharmaceutics,2019,wrong_api_keyword,True
10.3390/pharmaceutics12030270,"Preparation, Characterization, and In Vivo Pharmacokinetic Evaluation of Polyvinyl Alcohol and Polyvinyl Pyrrolidone Blended Hydrogels for Transdermal Delivery of Donepezil HCl.",Pharmaceutics,2020,wrong_api_keyword,True
10.3390/pharmaceutics13040587,Recent Biomedical Approaches for Chitosan Based Materials as Drug Delivery Nanocarriers.,Pharmaceutics,2021,wrong_api_keyword,True
10.3390/pharmaceutics14102106,Dermal Delivery of Diclofenac Sodium-In Vitro and In Vivo Studies.,Pharmaceutics,2022,wrong_api_keyword,True
10.3390/pharmaceutics15020318,Physicochemical Properties and Transdermal Absorption of a Flurbiprofen and Lidocaine Complex in the Non-Crystalline Form.,Pharmaceutics,2023,wrong_api_keyword,True
10.3390/pharmaceutics15061707,"Metamorphosis of Topical Semisolid Products-Understanding the Role of Rheological Properties in Drug Permeation under the ""in Use"" Condition.",Pharmaceutics,2023,wrong_api_keyword,True
10.3390/pharmaceutics15102444,Hydrogel-Based Microneedle as a Drug Delivery System.,Pharmaceutics,2023,wrong_api_keyword,True
10.3390/pharmaceutics17020171,Anti-Inflammatory and Pain-Relieving Effects of Arnica Extract Hydrogel Patch in Carrageenan-Induced Inflammation and Hot Plate Pain Models.,Pharmaceutics,2025,wrong_method_keyword,True
10.3390/pharmaceutics7030090,Transdermal Delivery of Drugs with Microneedles-Potential and Challenges.,Pharmaceutics,2015,wrong_api_keyword,True
10.3390/polym13132086,Review of Applications and Future Prospects of Stimuli-Responsive Hydrogel Based on Thermo-Responsive Biopolymers in Drug Delivery Systems.,Polymers,2021,wrong_api_keyword,True
10.3390/s26010239,Microneedle-Based Technologies for Long-Acting Transdermal Drug Delivery in Wearable Devices.,Sensors,2025,wrong_api_keyword,True
10.4103/2230-973x.133053,Enhanced transdermal permeability of piroxicam through novel nanoemulgel formulation.,International Journal of Pharmaceutical Investigation,2014,wrong_api_keyword,True
10.4155/tde-2020-0009,Sustained acoustic medicine; sonophoresis for nonsteroidal anti-inflammatory drug delivery in arthritis.,Therapeutic Delivery,2020,wrong_method_keyword,True
10.5812/ijpr.123787,"Preparation and Characterization of Lidocaine-Loaded, Microemulsion-Based Topical Gels.",Iranian Journal of Pharmaceutical Research,2022,wrong_api_keyword,True
