doi,title,journal,publisher,year,subscription_tier,original_block_reason,current_oa_status,oa_url_if_any,priority_rank
10.1016/j.bbamem.2014.05.029,The influence of cholesterol on interactions and dynamics of ibuprofen in a lipid bilayer.,Biochimica et Biophysica Acta (BBA) - Biomembranes,Elsevier BV,2014,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.bbamem.2014.05.029,18
10.1016/j.bbamem.2011.07.005,Human cells and cell membrane molecular models are affected in vitro by the nonsteroidal anti-inflammatory drug ibuprofen.,Biochimica et Biophysica Acta (BBA) - Biomembranes,Elsevier BV,2011,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.bbamem.2011.07.005,19
10.1016/j.bbamem.2010.03.002,"Sodium-coupled electrogenic transport of pyroglutamate (5-oxoproline) via SLC5A8, a monocarboxylate transporter.",Biochimica et Biophysica Acta (BBA) - Biomembranes,Elsevier BV,2010,now_oa,unresolved_no_resolved_oa_content,crossref_oa,https://doi.org/10.1016/j.bbamem.2010.03.002,20
10.1074/jbc.m304824200,Abeta42-lowering nonsteroidal anti-inflammatory drugs preserve intramembrane cleavage of the amyloid precursor protein (APP) and ErbB-4 receptor and signaling through the APP intracellular domain.,Journal of Biological Chemistry,Elsevier BV,2003,now_oa,"error: ['seed_pdf_url_from_metadata', 'failed_download:pdf', 'failed_download:pdf']",crossref_oa,http://www.jbc.org/content/278/33/30748.full.pdf,21
10.1038/s41429-025-00878-9,Reversion of multidrug resistance in clinical isolates of Escherichia coli using non-steroidal anti-inflammatory drugs (NSAIDs).,The Journal of Antibiotics,Springer Science and Business Media LLC,2026,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1038/s41429-025-00878-9,22
10.1016/j.ijbiomac.2025.146380,Chitosan and ibuprofen functionalized electrospun nanofiber membrane modulates inflammatory response and promotes full-thickness abdominal wall repair.,International Journal of Biological Macromolecules,Elsevier BV,2025,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1016/j.ijbiomac.2025.146380,23
10.1016/j.xphs.2025.103796,Novel surfactant-based elastic vesicular system as a promising approach for the topical delivery of Ibuprofen for enhanced wound healing.,Journal of Pharmaceutical Sciences,Elsevier BV,2025,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1016/j.xphs.2025.103796,24
10.1016/j.ijpharm.2025.125306,Topical drug formulation for enhanced permeation: A comparison of Bayesian optimisation and response surface methodology with an ibuprofen-loaded poloxamer 407-based formulations case study.,International Journal of Pharmaceutics,Elsevier BV,2025,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1016/j.ijpharm.2025.125306,25
10.1080/09205063.2024.2333627,Fabrication and mechanical modelling of dissolvable PVA/PVP composite microneedles with biocompatibility for efficient transdermal delivery of ibuprofen.,"Journal of Biomaterials Science, Polymer Edition",Informa UK Limited,2024,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1080/09205063.2024.2333627,26
10.1021/acs.nanolett.3c04243,Graphene Oxide Membrane Reactor for Electrochemical Deuteration Reactions.,Nano Letters,American Chemical Society (ACS),2024,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1021/acs.nanolett.3c04243,27
10.1021/acs.langmuir.3c02748,Multifunctional Deep Eutectic Solvent-Based Microemulsion for Transdermal Delivery of Artemisinin.,Langmuir,American Chemical Society (ACS),2024,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1021/acs.langmuir.3c02748,28
10.1021/acs.jpcb.4c00929,Pluronic P123/DMSO Lyotropic Liquid Crystal for Incorporating Bioactive Substances for Topical Application.,The Journal of Physical Chemistry B,American Chemical Society (ACS),2024,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1021/acs.jpcb.4c00929,29
10.1016/j.ijbiomac.2024.133237,Rubber oily liquids as transdermal and periodontal pocket drug delivery systems.,International Journal of Biological Macromolecules,Elsevier BV,2024,likely_subscribed,unresolved_no_resolved_oa_content,not_live_oa,https://doi.org/10.1016/j.ijbiomac.2024.133237,30
