record_id,paper,failure,detail
record_bc629b7ee4f2,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_8308d93e2200,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_8308d93e2200,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=80:20
record_8308d93e2200,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_d1ff98d4c972,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_d1ff98d4c972,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=90:10
record_d1ff98d4c972,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_f34719333f70,Part II,occlusion_field_mismatch,source_table=Table 2; actual=unknown; expected_by_table=occluded
record_f34719333f70,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100:0
record_f34719333f70,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_6b4ab72b9a59,Part II,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_6b4ab72b9a59,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:25:50
record_6b4ab72b9a59,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_073219db157b,Part II,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_073219db157b,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50:25:25
record_073219db157b,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_af7d9fdf90d6,Part II,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=non_occluded
record_af7d9fdf90d6,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:25:50
record_af7d9fdf90d6,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_eea14c396acf,Part II,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=non_occluded
record_eea14c396acf,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50:25:25
record_eea14c396acf,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_fb1e9524c1f2,Part II,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_fb1e9524c1f2,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=0:100
record_fb1e9524c1f2,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_d56177853e9b,Part II,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_d56177853e9b,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:75
record_d56177853e9b,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_0917c25edbf8,Part II,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_0917c25edbf8,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50:50
record_0917c25edbf8,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_ed550befcd82,Part II,occlusion_field_mismatch,source_table=Table 5; actual=unknown; expected_by_table=occluded
record_ed550befcd82,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100:0
record_ed550befcd82,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_3e452eb93e69,Part II,occlusion_field_mismatch,source_table=Table 6; actual=unknown; expected_by_table=occluded
record_3e452eb93e69,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=25:25:50
record_3e452eb93e69,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_6c7b2e45db8e,Part II,occlusion_field_mismatch,source_table=Table 6; actual=unknown; expected_by_table=occluded
record_6c7b2e45db8e,Part II,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50:25:25
record_6c7b2e45db8e,Part II,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_cb52be540c78,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_cb52be540c78,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=0/100
record_cb52be540c78,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_727c284f387d,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_727c284f387d,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=10/90
record_727c284f387d,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_d89ce76d4e73,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_d89ce76d4e73,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=20/80
record_d89ce76d4e73,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_fd14bfeef86b,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_fd14bfeef86b,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=30/70
record_fd14bfeef86b,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_251b349f4982,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_251b349f4982,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=40/60
record_251b349f4982,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_7c57e0a8f5f4,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_7c57e0a8f5f4,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50/50
record_7c57e0a8f5f4,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_00cea63f02f2,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_00cea63f02f2,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=60/40
record_00cea63f02f2,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_5aa5cbaf50a8,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_5aa5cbaf50a8,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=70/30
record_5aa5cbaf50a8,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_7f58f7aeb93b,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_7f58f7aeb93b,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=80/20
record_7f58f7aeb93b,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_efe20315f4cc,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_efe20315f4cc,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=90/10
record_efe20315f4cc,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_0ae15e6cd56d,Part III,occlusion_field_mismatch,source_table=Table 3; actual=unknown; expected_by_table=occluded
record_0ae15e6cd56d,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100/0
record_0ae15e6cd56d,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_34054a56b952,Part III,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=occluded
record_34054a56b952,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=0/100
record_34054a56b952,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
record_0b32573fac67,Part III,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=occluded
record_0b32573fac67,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=50/50
record_0b32573fac67,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux']; missing=['permeability_coefficient', 'partition_parameter', 'diffusion_parameter']"
record_5e114a7c7ff6,Part III,occlusion_field_mismatch,source_table=Table 4; actual=unknown; expected_by_table=occluded
record_5e114a7c7ff6,Part III,composition_not_structured,formulation.components empty; parsed from formulation.label + source_table; label=100/0
record_5e114a7c7ff6,Part III,multi_endpoint_incomplete,"endpoint_kinds=['flux', 'permeability_coefficient']; missing=['partition_parameter', 'diffusion_parameter']"
