doi,title,pdf_path,pdf_status,paper_status,file_size_bytes,page_count,text_chars,notes
10.1038/nature18615,Toremifene interacts with and destabilizes the Ebola virus glycoprotein.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1038_nature18615_manual.pdf,ok,ok,5949070,15,42017,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1038_nature18615_manual.pdf:ok']
10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1038_s41598-020-74885-1__cc5880def9.pdf,ok,ok,2260662,13,50328,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1038_s41598-020-74885-1__cc5880def9.pdf:ok']
10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1038_s41598-024-57883-5__8b907f605e.pdf,ok,ok,2341542,12,58882,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1038_s41598-024-57883-5__8b907f605e.pdf:ok']
10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1039_d0ra00100g__3cae185957.pdf,ok,ok,1015043,15,72157,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1039_d0ra00100g__3cae185957.pdf:ok']
10.1172/jci2614,Ibuprofen inhibits cystic fibrosis transmembrane conductance regulator-mediated Cl- secretion.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1172_jci2614__a57d87216e.pdf,ok,ok,331563,9,51131,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1172_jci2614__a57d87216e.pdf:ok']
10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1186_2050-6511-13-5__be67543fcb.pdf,ok,ok,3633258,7,28743,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1186_2050-6511-13-5__be67543fcb.pdf:ok']
10.1186/s13065-022-00901-2,"Synthesis, in silico studies and biological screening of (E)-2-(3-(substitutedstyryl)-5-(substitutedphenyl)-4,5-dihydropyrazol-1-yl)benzo[d]thiazole derivatives as an anti-oxidant, anti-inflammatory and antimicrobial agents.",C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1186_s13065-022-00901-2__513cb8ba91.pdf,ok,ok,1521167,19,77009,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1186_s13065-022-00901-2__513cb8ba91.pdf:ok']
10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1208_s12249-013-9995-4_manual.pdf,ok,ok,392594,10,46619,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1208_s12249-013-9995-4_manual.pdf:ok']
10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1208_s12249-015-0474-y__61badac756.pdf,ok,ok,1229477,7,28746,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1208_s12249-015-0474-y__61badac756.pdf:ok']
10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1208_s12249-019-1481-1__8db2f87134.pdf,ok,ok,499349,9,38853,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1208_s12249-019-1481-1__8db2f87134.pdf:ok']
10.1248/bpb.b19-00221,Three-Compartment Model Analysis with Minimal Sampling Points in the Caco-2 Permeability Assay.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1248_bpb.b19-00221__de01f5e119.pdf,ok,ok,933737,5,20889,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1248_bpb.b19-00221__de01f5e119.pdf:ok']
10.1248/cpb.c21-00033,Use of Silicone Membrane Permeation to Assess Thermodynamic Activities of Ionic Liquids and Their Component Cation and Anion.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1248_cpb.c21-00033__36e807a32d.pdf,ok,ok,610468,7,36807,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1248_cpb.c21-00033__36e807a32d.pdf:ok']
10.1371/journal.pone.0118536,Enhanced neurite outgrowth of human model (NT2) neurons by small-molecule inhibitors of Rho/ROCK signaling.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1371_journal.pone.0118536__05aa822b44.pdf,ok,ok,1099025,14,45298,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1371_journal.pone.0118536__05aa822b44.pdf:ok']
10.1523/jneurosci.15-04-02768.1995,Cyclooxygenase inhibition and the spinal release of prostaglandin E2 and amino acids evoked by paw formalin injection: a microdialysis study in unanesthetized rats.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1523_jneurosci.15-04-02768.1995__55ea95e777.pdf,ok,ok,1117694,9,52554,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1523_jneurosci.15-04-02768.1995__55ea95e777.pdf:ok']
10.1523/jneurosci.5741-07.2008,Overexpressed transient receptor potential vanilloid 3 ion channels in skin keratinocytes modulate pain sensitivity via prostaglandin E2.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.1523_jneurosci.5741-07.2008__1c61d8baec.pdf,ok,ok,633175,11,70078,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.1523_jneurosci.5741-07.2008__1c61d8baec.pdf:ok']
10.18433/j3160b,A new vesicle-loaded hydrogel system suitable for topical applications: preparation and characterization.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.18433_j3160b__965f8e1d51.pdf,ok,ok,430869,11,39861,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.18433_j3160b__965f8e1d51.pdf:ok']
10.21203/rs.3.rs-3773667/v1,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.21203_rs.3.rs-3773667_v1__2d359d6f44.pdf,ok,ok,807474,25,52082,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.21203_rs.3.rs-3773667_v1__2d359d6f44.pdf:ok']
10.3390/membranes13030355,Removal of Typical PPCPs by Reverse Osmosis Membranes: Optimization of Treatment Process by Factorial Design.,C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.3390_membranes13030355__a123d1bda1.pdf,ok,ok,2661132,13,41913,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.3390_membranes13030355__a123d1bda1.pdf:ok']
10.3390/molecules28207156,"In Vitro Assessment of the Antidiabetic and Anti-Inflammatory Potential of <i>Artemisia absinthium, Artemisia vulgaris</i> and <i>Trigonella foenum-graecum</i> Extracts Processed Using Membrane Technologies.",C:\Users\yz02380\OneDrive - University of Surrey\Science Research\Codes\SkinMiner\papers\pdf\10.3390_molecules28207156__e75b26c400.pdf,ok,ok,1340695,14,50338,['candidate_diagnostics=C:\\Users\\yz02380\\OneDrive - University of Surrey\\Science Research\\Codes\\SkinMiner\\papers\\pdf\\10.3390_molecules28207156__e75b26c400.pdf:ok']
