record_id,doi,route,study_type,scientific_guard_pass,guard_reason,formulation_label,api_name,dosage_form,device,barrier,api_concentration_raw,components_text,evidence_preview,api_match,device_match,membrane_match,poloxamer_match,ethanol_match,propylene_glycol_match,matched_excipient_terms,level1_exact_match,level2_same_excipient_system,level3_partial_excipient_overlap,level4_same_api_device,highest_level,highest_level_label
record_56905c334e84,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_cf75fe70f7e7,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_5a7c814731a3,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_aeecd0d08d28,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_5020cd3721bb,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_161a7275a03e,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_c3546a6dfa5f,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_d9ccefdc9f5c,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,True,False,False,False,,False,False,False,False,0,No funnel match
record_e3375489a6c9,10.1016/j.ejpb.2020.05.013,figure,both,False,non_ivpt_or_ivrt,5% w/w Ibuprofen gel,Ibuprofen,gel,Franz diffusion cell,silicone membrane,5 % w/w,Ibuprofen w/w,The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up to 12 h. | The absorbance readings were extracted from the software...be quantitatively assessed at increasing time points up,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_54f0c77ecce9,10.1038/s41598-020-74885-1,figure,IVRT,False,non_skin_or_membrane_context,12% PCL-IBU,Ibuprofen,fibrous mat,,polycaprolactone fibrous mats,4 mg/ml,Ibuprofen Drug ; Polycaprolactone Polymer,Cumulative drug release analysis. The cumulative release (%) of IBU from each group at a given time... | Cumulative drug release analysis. The cumulative release (%) of IBU from each group at a given time... | ucosal delivery system for poo,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_3a3312bfab87,10.1038/s41598-020-74885-1,figure,IVRT,False,non_skin_or_membrane_context,12% PCL-IBU,Ibuprofen,fibrous mat,,polycaprolactone fibrous mats,4 mg/ml,Ibuprofen Drug ; Polycaprolactone Polymer,"Cumulative drug release analysis. The initial burst release was 66.43%... | Cumulative drug release analysis. The initial burst release was 66.43%... | ucosal delivery system for poorly water-soluble drugs. Eur. J. Pharm. Sci. 75, 101–113 (",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_3388a279c7e8,10.1038/s41598-020-74885-1,figure,IVRT,False,non_skin_or_membrane_context,12% PCL-IBU,Ibuprofen,fibrous mat,,polycaprolactone fibrous mats,4 mg/ml,Ibuprofen Drug ; Polycaprolactone Polymer,"Cumulative drug release analysis. The initial burst release was 66.43%... | Cumulative drug release analysis. The initial burst release was 66.43%... | ucosal delivery system for poorly water-soluble drugs. Eur. J. Pharm. Sci. 75, 101–113 (",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_a8514a78092f,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,A,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_396d098189b9,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,B,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_b38e30c2a7de,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,C,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_6e12e1587b9e,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,D,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_ca4b1d3e6308,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,E,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_ae0ca3ad9725,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,F,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_e26a9af3a51b,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,G,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_82a89a0d0703,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,H,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_903ce061d6ea,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,I,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_48266fe84cb1,10.1038/s41598-024-57883-5,mixed,IVPT,False,non_skin_or_membrane_context,J,Ibuprofen,,,cotton fabric,,L-lactide Used for polymerization. ; Ibuprofen Active Drug,"ulose molecules are acting as an ­initiator28. Two PLA forms were chosen to enclose ibuprofen, star-shaped PLA, and PLA-PEG copolymer, which have different affinity for water, and therefore, to hydrophilic cotton fibers. They were intended ",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_a9cd86939b25,10.1038/srep08114,table,both,False,non_ivpt_or_ivrt;non_skin_or_membrane_context,Ibuprofen 10 mM,Ibuprofen,dissolved in DMSO,,,10 mM,Ibuprofen total amount in solution ; DMSO diluent,Table 1 reveals that at least some NSAIDs exhibit potent antagonistic activities on FXR. | Table 1 reveals that at least some NSAIDs exhibit potent antagonistic activities on FXR. | stigate the effects of NSAIDs on FXR transcription activit,True,False,True,False,False,False,,False,False,False,False,0,No funnel match
record_76594a25e56c,10.1038/srep08114,table,both,False,non_ivpt_or_ivrt;non_skin_or_membrane_context,Ibuprofen 10 mM,Ibuprofen,dissolved in DMSO,,,10 mM,Ibuprofen total amount in solution ; DMSO diluent,"Measured by the IC50 values, ibuprofen's activity was observed over multiple time points. | Measured by the IC50 values, ibuprofen's activity was observed over multiple time points. | stigate the effects of NSAIDs on FXR transcription activ",True,False,True,False,False,False,,False,False,False,False,0,No funnel match
record_ac85bd7b8eae,10.1038/srep08114,table,both,False,non_ivpt_or_ivrt;non_skin_or_membrane_context,Ibuprofen 10 mM,Ibuprofen,dissolved in DMSO,,,10 mM,Ibuprofen total amount in solution ; DMSO diluent,Activity of ibuprofen was recorded at 24 hours in the receptor medium. | Activity of ibuprofen was recorded at 24 hours in the receptor medium. | Activity of ibuprofen was recorded at 24 hours in the receptor medium. --- PAGE 2 --- Results ,True,False,True,False,False,False,,False,False,False,False,0,No funnel match
record_ccfbcf0f6bbe,10.1172/jci2614,figure,both,False,non_ivpt_or_ivrt,500 µM Ibuprofen,Ibuprofen,,,human colonic and airway epithelia,500 µM,Ibuprofen,". We demonstrate that ibuprofen, at a pharmacologi- cally relevant concentration, inhibits cAMP-dependent Cl 2 se- cretion across human colonic and airway epithelia and that this inhibition is due at least in part to the blocking of the cys",True,False,False,False,True,False,ethanol,False,False,False,False,0,No funnel match
record_b1d83a122415,10.1172/jci2614,figure,both,False,non_ivpt_or_ivrt,500 µM Ibuprofen,Ibuprofen,,,human colonic and airway epithelia,500 µM,Ibuprofen,in primary cultures of murine tracheal and human bronchial epi- thelia. Our studies from colonic cells were extended to deter- mine whether ibuprofen would similarly inhibit the forskolin- stimulated Isc in both primary cultures of murine t,True,False,False,False,True,False,ethanol,False,False,False,False,0,No funnel match
record_ea6d3cf8e803,10.1172/jci2614,figure,both,False,non_ivpt_or_ivrt,500 µM Ibuprofen,Ibuprofen,,,human colonic and airway epithelia,500 µM,Ibuprofen,eal and human bronchial epi- thelia. Our studies from colonic cells were extended to deter- mine whether ibuprofen would similarly inhibit the forskolin- stimulated Isc in both primary cultures of murine tracheal epithelia (MTE) and human b,True,False,False,False,True,False,ethanol,False,False,False,False,0,No funnel match
record_94487029ac2e,10.1172/jci2614,figure,both,False,non_ivpt_or_ivrt,500 µM Ibuprofen,Ibuprofen,,,human colonic and airway epithelia,500 µM,Ibuprofen,eal and human bronchial epi- thelia. Our studies from colonic cells were extended to deter- mine whether ibuprofen would similarly inhibit the forskolin- stimulated Isc in both primary cultures of murine tracheal epithelia (MTE) and human b,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_1e4415c46bc5,10.1186/s12951-020-00718-y,table,IVRT,False,non_skin_or_membrane_context,Ibuprofen,Ibuprofen,nanocarrier,,PBS,,Magnetic@layered double hydroxide drug nanocarrier,--- PAGE 3 --- Page 3 of 11 Yousefi et al. J Nanobiotechnol (2020) 18:155 Drug release from drug‑containing Fe3O4@LDH multicore@ shell nanostructure The drug-containing ­Fe3O4@LDH multicore@shell nano- structures (0.2 g) were blended with 1,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_22e1a1ebe25e,10.1186/s12951-020-00718-y,table,IVRT,False,non_skin_or_membrane_context,Ibuprofen,Ibuprofen,nanocarrier,,PBS,,Magnetic@layered double hydroxide drug nanocarrier,--- PAGE 3 --- Page 3 of 11 Yousefi et al. J Nanobiotechnol (2020) 18:155 Drug release from drug‑containing Fe3O4@LDH multicore@ shell nanostructure The drug-containing ­Fe3O4@LDH multicore@shell nano- structures (0.2 g) were blended with 1,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_6febc8ac05cc,10.1186/s12951-020-00718-y,table,IVRT,False,non_skin_or_membrane_context,Ibuprofen,Ibuprofen,nanocarrier,,PBS,,Magnetic@layered double hydroxide drug nanocarrier,--- PAGE 3 --- Page 3 of 11 Yousefi et al. J Nanobiotechnol (2020) 18:155 Drug release from drug‑containing Fe3O4@LDH multicore@ shell nanostructure The drug-containing ­Fe3O4@LDH multicore@shell nano- structures (0.2 g) were blended with 1,True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_4ce1a013d96f,10.1186/s13065-022-00901-2,table,IVPT,True,,Compound Z10 (R = 4-CH3),Compound Z10,,,,,Compound Z10 Less inhibitory potential with IC50 value of 1.30 µmol/ml,"nding and > 90% indicates strong binding to plasma proteins. The blood–brain barrier (BBB) penetration is symbol- ized as BB = (Brain)/(Blood). The value < 0.1 indicates low absorption, 0.1–2.0 moderate absorption, and > 2.0 higher absorpti",False,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_5702761c7ab9,10.1186/s13065-022-00901-2,table,IVPT,True,,Compound Z13 (R = 4-F),Compound Z13,,,,,Compound Z13 Most potent compound with IC50 value of 0.03 µmol/ml,"nding and > 90% indicates strong binding to plasma proteins. The blood–brain barrier (BBB) penetration is symbol- ized as BB = (Brain)/(Blood). The value < 0.1 indicates low absorption, 0.1–2.0 moderate absorption, and > 2.0 higher absorpti",False,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_cee02a763e46,10.1186/s13065-022-00901-2,table,IVPT,True,,Compound Z3 (R = 3-NO2),Compound Z3,,,,,Compound Z3 Second highest activity with IC50 value of 0.05 µmol/ml,"nding and > 90% indicates strong binding to plasma proteins. The blood–brain barrier (BBB) penetration is symbol- ized as BB = (Brain)/(Blood). The value < 0.1 indicates low absorption, 0.1–2.0 moderate absorption, and > 2.0 higher absorpti",False,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_379eac963b90,10.1186/s13065-022-00901-2,table,IVPT,True,,Compound Z8 (R = 4-OH),Compound Z8,,,,,Compound Z8 Less inhibitory potential with IC50 value of 3.08 µmol/ml,"nding and > 90% indicates strong binding to plasma proteins. The blood–brain barrier (BBB) penetration is symbol- ized as BB = (Brain)/(Blood). The value < 0.1 indicates low absorption, 0.1–2.0 moderate absorption, and > 2.0 higher absorpti",False,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_c12134a7f2e9,10.1186/s13065-022-00901-2,table,IVPT,True,,Ibuprofen,Ibuprofen,,,,,Ibuprofen,"nding and > 90% indicates strong binding to plasma proteins. The blood–brain barrier (BBB) penetration is symbol- ized as BB = (Brain)/(Blood). The value < 0.1 indicates low absorption, 0.1–2.0 moderate absorption, and > 2.0 higher absorpti",True,False,False,False,False,False,,False,False,False,False,0,No funnel match
record_d16c057fc54f,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F1,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=+1 (1.0) ; particle size factor source cell=+1 (300),F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | te of the United S,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_453da10d1ec5,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F1,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=+1 (1.0) ; particle size factor source cell=+1 (300),F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | te of the United S,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_3ec6644ba612,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F1,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=+1 (1.0) ; particle size factor source cell=+1 (300),F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | F1 | +1 (300) | +1 (2.0) | +1 (1.0) | 96.4 (0.7) | 26.0 (3.6) | 298.0 (57.8) | 536.5 (63.4) | 1142.4 (107.5) | te of the United S,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_6ef7cb7d4ade,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F2,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=−1 (3.0) ; particle size factor source cell=+1 (300),F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | te of the United S,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_3672e05a60e6,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F2,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=−1 (3.0) ; particle size factor source cell=+1 (300),F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | te of the United S,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_7f1a8e76ddde,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F2,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=−1 (3.0) ; particle size factor source cell=+1 (300),F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | F2 | +1 (300) | +1 (2.0) | −1 (3.0) | 96.0 (1.2) | 29.7 (4.1) | 155.9 (11.4) | 580.2 (58.6) | 1178.9 (144.2) | te of the United S,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
record_dc0536190cb0,10.1208/s12249-013-9995-4,table,both,False,non_ivpt_or_ivrt,F3,Ibuprofen,,Franz diffusion cell,porcine skin,5% (w/v),Vit. E TPGS level source cell=+1 (2.0) ; HPMC K100 level source cell=−1 (3.0) ; particle size factor source cell=−1 (900),F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | F3 | −1 (900) | +1 (2.0) | −1 (3.0) | 98.5 (0.8) | 19.3 (2.4) | 140.2 (35.9) | 543.5 (112.5) | 759.6 (94.4) | te of the United Sta,True,True,False,False,False,False,,False,False,False,False,0,No funnel match
