source,formulation_label,design_group,design_method,doi,api_name,api_concentration,membrane_type,membrane_source,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,device,excipient_1_name,excipient_1_value,excipient_2_name,excipient_2_value,excipient_3_name,excipient_3_value,condition_note
Paper 1 (this study),Cf17,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,21.3% w/w,Ethanol,20% w/w,Propylene glycol,10.6% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,22.7% w/w,Ethanol,14.4% w/w,Propylene glycol,16% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,23.5% w/w,Ethanol,17.9% w/w,Propylene glycol,18.1% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,24.3% w/w,Ethanol,13.1% w/w,Propylene glycol,11.9% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,25.5% w/w,Ethanol,10.1% w/w,Propylene glycol,14.8% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,26.6% w/w,Ethanol,11.6% w/w,Propylene glycol,16.8% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,27.2% w/w,Ethanol,18.7% w/w,Propylene glycol,13.1% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,28.3% w/w,Ethanol,15.5% w/w,Propylene glycol,12.7% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,29.2% w/w,Ethanol,12.9% w/w,Propylene glycol,19.6% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),OPT1,OPT,Final optimum,this_study,Ibuprofen,Ibuprofen 5% w/w,Strat-M,synthetic,PBS,finite,300 mg,,Franz cell,Poloxamer 407,20% w/w,Ethanol,20% w/w,Propylene glycol,10% w/w,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Literature (SkinMiner extracted),F1,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,2% w/v,HPMC K100,1% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F2,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,2% w/v,HPMC K100,3% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F3,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,2% w/v,HPMC K100,3% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F4,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,0.1% w/v,HPMC K100,3% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F5,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,0.1% w/v,HPMC K100,3% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F6,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,2% w/v,HPMC K100,1% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F7,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,0.1% w/v,HPMC K100,1% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F8,Literature,SkinMiner literature extraction,10.1208/s12249-013-9995-4,Ibuprofen,5% w/v,dermatomed porcine skin; human skin,porcine,PBS (pH 7.4),infinite,infinite dose,0.64,Franz diffusion cell,Vit. E TPGS,0.1% w/v,HPMC K100,1% w/v,HPMC K4 (base),2% w/v,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
