source,formulation_label,design_group,design_method,cumulative_amount_24h_ug_cm2,doi,endpoint_time_h,excipient_system,membrane_type,condition_note
Paper 1 (this study),Cf11,BBD,Box-Behnken design,222.0470447761194,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf12,BBD,Box-Behnken design,184.66119402985075,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf13,BBD,Box-Behnken design,262.03,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf14,BBD,Box-Behnken design,223.1465074626865,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf15,BBD,Box-Behnken design,204.0362686567164,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO1,BO,Bayesian optimization,218.1831641791045,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO2,BO,Bayesian optimization,168.30692537313433,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO3,BO,Bayesian optimization,223.2257313432836,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),BO4,BO,Bayesian optimization,272.062328358209,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf16,LHS,Latin hypercube sampling,248.65826865671642,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf17,LHS,Latin hypercube sampling,283.2579104477612,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,260.5416119402986,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,225.75182089552246,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,264.1280298507464,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,283.86346268656723,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,272.72931343283585,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,236.24794029850742,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,276.8343880597015,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,261.7731343283582,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Paper 1 (this study),OPT1,OPT,Final optimum,242.84979104477617,this_study,24.0,Poloxamer 407 / Ethanol / Propylene glycol gel,Strat-M synthetic membrane,"Strat-M, finite dose 300 mg, Poloxamer 407 gel"
Literature (SkinMiner extracted),F1,Literature,SkinMiner literature extraction,465.625,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F2,Literature,SkinMiner literature extraction,243.59375,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F3,Literature,SkinMiner literature extraction,219.0625,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F4,Literature,SkinMiner literature extraction,206.71875,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F5,Literature,SkinMiner literature extraction,487.96875,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F6,Literature,SkinMiner literature extraction,232.5,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F7,Literature,SkinMiner literature extraction,193.59375,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
Literature (SkinMiner extracted),F8,Literature,SkinMiner literature extraction,206.71875,10.1208/s12249-013-9995-4,24.0,Vit. E TPGS / HPMC nanosuspension,dermatomed porcine skin; human skin,"Porcine skin, infinite dose, TPGS/HPMC nanosuspension"
